"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Cabrera, Miguel","408234","2023","0.675",".317",".010","-0.010","-0.002"
"Peralta, David","444482","2023","0.675",".296","-0.015","-0.019","-0.019"
"Blackmon, Charlie","453568","2023","0.803",".307",".010",".034",".011"
"Maldonado, Martín","455117","2023","0.606",".260",".004","-0.009","-0.001"
"Solano, Donovan","456781","2023","0.760",".366","-0.002","-0.038","-0.013"
"McCutchen, Andrew","457705","2023","0.775",".312","-0.001","-0.012","-0.008"
"Turner, Justin","457759","2023","0.800",".304",".016",".011",".010"
"Andrus, Elvis","462101","2023","0.662",".294",".020",".045",".023"
"Santana, Carlos","467793","2023","0.747",".255",".000",".051",".015"
"Belt, Brandon","474832","2023","0.859",".370",".042",".053",".033"
"Gurriel Jr., Yuli","493329","2023","0.663",".272",".008",".039",".014"
"Rojas, Miguel","500743","2023","0.612",".255","-0.016","-0.016","-0.017"
"Escobar, Eduardo","500871","2023","0.613",".286",".023",".045",".023"
"Pham, Tommy","502054","2023","0.774",".300","-0.028","-0.029","-0.029"
"Martinez, J.D.","502110","2023","0.893",".324",".000",".019",".000"
"Goldschmidt, Paul","502671","2023","0.810",".327","-0.003","-0.044","-0.017"
