"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"McCormick, Chas","676801","2023","0.842",".027",".032",".021"
"Franco, Wander","677551","2023","0.819","-0.019","-0.009","-0.015"
"Rodríguez, Julio","677594","2023","0.818",".001",".010",".002"
"Duran, Ezequiel","677649","2023","0.767",".020",".009",".011"
"Thomas, Alek","677950","2023","0.647","-0.021",".001","-0.013"
"Witt Jr., Bobby","677951","2023","0.814","-0.018","-0.038","-0.026"
"Bae, Ji Hwan","678225","2023","0.607",".009",".018",".008"
"Vargas, Miguel","678246","2023","0.672","-0.015",".014","-0.009"
"Tovar, Ezequiel","678662","2023","0.695",".005",".022",".007"
"Torkelson, Spencer","679529","2023","0.759","-0.018","-0.038","-0.023"
"McLain, Matt","680574","2023","0.864",".034",".071",".038"
"Kwan, Steven","680757","2023","0.710","-0.014",".012","-0.004"
"Duran, Jarren","680776","2023","0.828",".024",".077",".031"
"Jeffers, Ryan","680777","2023","0.859",".043",".058",".036"
"Gelof, Zack","680869","2023","0.841",".014",".056",".024"
"Miller, Owen","680911","2023","0.674",".009",".012",".004"
"Donovan, Brendan","680977","2023","0.787","-0.003","-0.016","-0.009"
"Stott, Bryson","681082","2023","0.748",".013",".033",".014"
"Carpenter, Kerry","681481","2023","0.811",".020",".011",".011"
"Outman, James","681546","2023","0.790",".020",".041",".019"
"Alvarez, Francisco","682626","2023","0.721",".000",".015",".005"
"De La Cruz, Elly","682829","2023","0.710","-0.005",".019",".002"
"Abrams, CJ","682928","2023","0.712","-0.002",".013",".002"
"Greene, Riley","682985","2023","0.796","-0.001","-0.052","-0.021"
"Carroll, Corbin","682998","2023","0.868",".017",".065",".026"
"Henderson, Gunnar","683002","2023","0.814","-0.006",".017",".000"
"Volpe, Anthony","683011","2023","0.666","-0.024","-0.013","-0.018"
"Baty, Brett","683146","2023","0.598","-0.025","-0.059","-0.034"
"Vaughn, Andrew","683734","2023","0.743",".006",".002",".002"
"Doyle, Brenton","686668","2023","0.593",".003","-0.001","-0.001"
"Massey, Michael","686681","2023","0.655","-0.031","-0.051","-0.036"
"Brennan, Will","686823","2023","0.655","-0.020","-0.022","-0.020"
"Wiemer Jr., Joey","686894","2023","0.645","-0.005","-0.008","-0.005"
"Neto, Zach","687263","2023","0.685","-0.001","-0.026","-0.010"
"Walker, Jordan","691023","2023","0.787",".009",".019",".009"
"Yoshida, Masataka","807799","2023","0.783",".016",".020",".014"
"Blackmon, Charlie","453568","2024","0.741",".007",".047",".017"
"Solano, Donovan","456781","2024","0.760",".029",".039",".026"
"McCutchen, Andrew","457705","2024","0.739",".005","-0.010","-0.002"
"Turner, Justin","457759","2024","0.737",".007",".000","-0.001"
"Santana, Carlos","467793","2024","0.748","-0.008",".005","-0.004"
"Rojas, Miguel","500743","2024","0.747",".000",".045",".013"
"Pham, Tommy","502054","2024","0.673","-0.015","-0.039","-0.022"
"Martinez, J.D.","502110","2024","0.726","-0.021","-0.066","-0.033"
